Apr. 21, 2024   17:03:32
Linear Sweep Voltammetry
File: 2 cd-900-lsv-80ug-n2.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.9
Final E (V) = 0.2
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.234
Sens 2 (A/V) = 1e-4

Results:

Channel 1:
Ep = -0.550V
ip = 1.996e-7A
Ah = 2.642e-7C

Ep = 0.199V
ip = 4.132e-5A
Ah = 4.727e-3C

Ep = -0.441V
ip = 1.310e-7A
Ah = 6.543e-7C

Current 2:

Ep = -0.441V
ip = 1.310e-7A
Ah = 6.543e-7C

Potential/V, i1/A, i2/A
-0.409, 1.465e-4, 1.610e-5
-0.408, 1.463e-4, 1.609e-5
-0.407, 1.463e-4, 1.608e-5
-0.406, 1.461e-4, 1.609e-5
-0.405, 1.460e-4, 1.612e-5
-0.404, 1.459e-4, 1.611e-5
-0.403, 1.459e-4, 1.611e-5
-0.402, 1.458e-4, 1.612e-5
-0.401, 1.457e-4, 1.611e-5
-0.400, 1.456e-4, 1.611e-5
-0.399, 1.456e-4, 1.610e-5
-0.398, 1.455e-4, 1.607e-5
-0.397, 1.455e-4, 1.608e-5
-0.396, 1.454e-4, 1.610e-5
-0.395, 1.453e-4, 1.611e-5
-0.394, 1.453e-4, 1.610e-5
-0.393, 1.453e-4, 1.608e-5
-0.392, 1.452e-4, 1.608e-5
-0.391, 1.452e-4, 1.607e-5
-0.390, 1.452e-4, 1.609e-5
-0.389, 1.450e-4, 1.610e-5
-0.388, 1.448e-4, 1.609e-5
-0.387, 1.449e-4, 1.609e-5
-0.386, 1.449e-4, 1.607e-5
-0.385, 1.448e-4, 1.607e-5
-0.384, 1.448e-4, 1.608e-5
-0.383, 1.447e-4, 1.608e-5
-0.382, 1.447e-4, 1.607e-5
-0.381, 1.446e-4, 1.605e-5
-0.380, 1.446e-4, 1.603e-5
-0.379, 1.445e-4, 1.603e-5
-0.378, 1.445e-4, 1.601e-5
-0.377, 1.445e-4, 1.600e-5
-0.376, 1.443e-4, 1.600e-5
-0.375, 1.443e-4, 1.599e-5
-0.374, 1.443e-4, 1.599e-5
-0.373, 1.442e-4, 1.598e-5
-0.372, 1.441e-4, 1.597e-5
-0.371, 1.442e-4, 1.597e-5
-0.370, 1.440e-4, 1.598e-5
-0.369, 1.440e-4, 1.598e-5
-0.368, 1.439e-4, 1.598e-5
-0.367, 1.439e-4, 1.597e-5
-0.366, 1.437e-4, 1.597e-5
-0.365, 1.438e-4, 1.596e-5
-0.364, 1.438e-4, 1.594e-5
-0.363, 1.437e-4, 1.593e-5
-0.362, 1.436e-4, 1.593e-5
-0.361, 1.436e-4, 1.595e-5
-0.360, 1.435e-4, 1.594e-5
-0.359, 1.434e-4, 1.593e-5
-0.358, 1.435e-4, 1.592e-5
-0.357, 1.434e-4, 1.591e-5
-0.356, 1.433e-4, 1.591e-5
-0.355, 1.432e-4, 1.591e-5
-0.354, 1.431e-4, 1.591e-5
-0.353, 1.430e-4, 1.592e-5
-0.352, 1.429e-4, 1.592e-5
-0.351, 1.428e-4, 1.592e-5
-0.350, 1.426e-4, 1.591e-5
-0.349, 1.425e-4, 1.591e-5
-0.348, 1.425e-4, 1.590e-5
-0.347, 1.423e-4, 1.589e-5
-0.346, 1.423e-4, 1.588e-5
-0.345, 1.422e-4, 1.587e-5
-0.344, 1.421e-4, 1.587e-5
